Scientific name,Synonym,Common Name,Family,Native/Introduced,Status/IUCN,COI,Key Features,Description,Body Size,Ecology ,Distribution,Habitat Traits,       Other information,Citation,Picture Reference
Amblyeleotris neumanni,Not Available,Not Available,Gobiidae,Native,Data Deficient (DD),Not Available,Dorsal spines (total): 7; Dorsal soft rays (total): 12-13; Anal spines: 1; Anal soft rays: 13; Vertebrae: 25.,"Longitudinal scale series 98-100; median predorsal scales absent; side of nape with scales extending forward to above middle of opercle; body depth 5.5-5.8 in SL; head length 3.45-3.5 in SL; snout length 1.75 in HL; gill opening extends forward to above middle of peopercle; 3rd - 5th dorsal spines of male are prolonged as filaments; lanceolate caudal fin, 2.6-2.85 in SL; pelvic fins are fully joined medially, reaching origin of anal fin; pelvic frenum present. Body with 4 orangish brown bars and with irregular dark markings between; dorsal fin rays with ocellated orange spots, the soft rays tipped with orange; anal fin with the basal part with narrow adjacent bands of black, orange, blue, and blue-green; pale blue or green pelvic fins",Max length: 5.5 cm Male/unsexed,Not Available,"New Britain, Papua New Guinea.","Lives on the sandy bottoms in burrows. Marine, demersal",associated with an undescribed species of Alpheus,"Randall, J.E. and J.L. Earle, 2006. Amblyeleotris neumanni, a new species of shrimp goby from New Britain. aqua, J. Ichthyol. Aquat. Biol. 11(1):19-24. ","Source: Randall, J.E.. Froese, R. and D. Pauly. Editors. (2024). FishBase. Amblyeleotris neumanni Randall & Earle, 2006. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=389842 on 2024-06-20"
Amblyeleotris novaecaledoniae,Not Available,Not Available,Gobiidae,Native,Least Concern (LC),Not Available,Not Available,Amblyeleotris novaecaledoniae is a species of ray-finned fishes in the family gobies. Individuals can grow to 9.5 cm. They have sexual reproduction.,Max length: 9.5 cm Male/unsexed,Not Available,New Caledonia and Papua New Guinea.,"Lives on the sandy bottoms in burrows. Marine, reef-associated",Not Available,"Kailola, P.J., 1991. The fishes of Papua New Guinea: a revised and annotated checklist. Vol. III. Gobiidae to Molidae. Research Bulletin No. 41, Research Section, Dept. of Fisheries and Marine Resources, Papua New Guinea. 153 p. https://api.eol.org/pages/46575983","Source: Randall, J.E.. Froese, R. and D. Pauly. Editors. (2024). FishBase. Amblyeleotris novaecaledoniae Goren, 1981. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=278977 on 2024-06-20"
Amblyeleotris rhyax,Not Available,Volcano shrimpgoby,Gobiidae,Native,Least Concern (LC),Not Available,Dorsal spines (total): 6 - 7; Dorsal soft rays (total): 12; Anal spines: 1; Anal soft rays: 12.,"Characterized by separate pelvic fins, joined by low membrane at base on fins; scaled midline of nape, scales on side of nape extending forward to above operculum; longitudinal scale series 66-71; greatest depth of body 5.0-5.6 in SL; more or less pointed caudal fin, usually longer than head. White body color with numerous red-edged orange spots on head and body; head and anterior body with three narrow reddish bars; two additional, less distinct bars below second dorsal fin",Max length: 7.3 cm Female,Not Available,"Western Pacific: Indonesia, Philippines, Papua New Guinea, Palau and Australia.","Found in outer reef slopes. Also found in sand-rubble bottoms adjacent to seaward reefs in 30-45 m. Marine, reef-associated", This species inhabit burrows made by alpheid prawns in sand and rubble,"Polunin, N.V.C. and R. Lubbock, 1979. Five new prawn-associated gobies (Teleostei: Gobiidae) of the genus Amblyeleotris. Bull. Br. Mus. Nat. Hist. (Zool.) 36(4):239-249. ","Source: John E. Randall. License: CC BYAttribution-Noncommercial. Bray, D.J. 2019, Amblyeleotris rhyax in Fishes of Australia, accessed 21 Jun 2024, https://fishesofaustralia.net.au/home/species/1185"
Amblygobius esakiae,Not Available,Snoutspot goby,Gobiidae,Native,Least Concern (LC),Not Available,Dorsal spines (total): 6 - 7; Dorsal soft rays (total): 14-15; Anal spines: 1; Anal soft rays: 16.,"Characterized by having the first and second dorsal fin equal in height; lanceolate caudal fin; longitudinal scale series 65-75; fully scaled predorsal region; scales dorsally on opercle, absent on cheek; ctenoid scales on body; cycloid scales on nape, abdomen, and opercle. Dull brownish to blue grey body color with distinctive dark spots on snout; presence of row of brownish streaks or spots behind eye; pair of brown streaks on gill cover and pectoral fin base",Max length: 8.5 cm Male/unsexed,Occurs on muddy substrates to about 10 meters depth.,"Indonesia, east to Philippines, Papua New Guinea and Palau.","Inhabits silty sand of shallow protected inner reefs and intertidal flats near mangroves. Marine, reef-associated",Usually found in pairs,"Kailola, P.J., 1991. The fishes of Papua New Guinea: a revised and annotated checklist. Vol. III. Gobiidae to Molidae. Research Bulletin No. 41, Research Section, Dept. of Fisheries and Marine Resources, Papua New Guinea. 153 p.","Source: Allen, G.R.. Froese, R. and D. Pauly. Editors. (2024). FishBase. Amblygobius esakiae Herre, 1939. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=278652 on 2024-06-20"
Ancistrogobius yanoi,Not Available,Yano's cheek-hook goby,Gobiidae,Native,Least Concern (LC),Not Available,Dorsal spines (total): 7; Dorsal soft rays (total): 10; Anal spines: 1; Anal soft rays: 9.,"Characterized by no scales on head and most of nape (no predorsal scales); 17-19 (usually 18 or 19) pectoral-fin rays 1; pelvic fins fused medially by well developed connecting membrane and frenum (frenum often rudimentary); fifth segmented ray of pelvic fin 89.9-100.0% of preceding ray in length. sensory papilla rows x^1 and x^2 not continuous (interrupted by row trp); sensory papilla rows trp extending dorsally to slightly above a longitudinal line through rows x^1 + x^2; anterior tip of sensory papilla row b closed to, or attaching with, row 4 and well apart from row 3; row d typically extending posteriorly to well beyond ventral end of row 6i. Third spine of first dorsal fin elongate and filamentous, obviously longer than preceding spine (at least in specimens that are more than 21 mm SL), with alternating pale and dusky pattern in life or when fresh (typically faded and indistinct in preserved specimens, but its distal tip tinged with black). Faint, dusky blotches below eye (not forming a distinct vertical bar); distal tip of first dorsal fin with a black blotch, relatively wide, extending posteriorly to just behind third spine (but not to middle of third interspinal membrane);",Max length: 3.7 cm Male/unsexed,Not Available,"Indonesia, Papua New Guinea, Philippines, Solomon Islands, Yap, Chuuk and Ryukyu Islands.","Collected from sandy-mud bottoms at depths of 0-12 m. Marine, benthopelagic",Not Available,"Shibukawa, K., T. Yoshino and G.R. Allen, 2010. Ancistrogobius, a new cheek-spine goby genus from the West Pacific and Red Sea, with descriptions of four new species (Perciformes: Gobiidae: Gobiinae). Bull. Natl. Mus. Nat. Sci., Ser. A, (Suppl. 4):67-87. ","Source: Allen, G.R.. Froese, R. and D. Pauly. Editors. (2024). FishBase. Ancistrogobius yanoi Shibukawa, Yoshino & Allen, 2010. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=475006 on 2024-06-20"
Ancistrogobius yoshigoui,Not Available,Threadless cheek-hook goby,Gobiidae,Native,Not Evaluated,Not Available,Dorsal spines (total): 7; Dorsal soft rays (total): 9-10; Anal spines: 1; Anal soft rays: 9.,"Characterized by its congeners by having the following characters: lacks a filamentous spine on the first dorsal fin (the third spine subequal in length to preceding spine); 19-20, typically 20 pectoral-fin rays; head and most of nape no scales, predorsal scales absent; pelvic fins fused medially with well developed connecting membrane and frenum; fifth segmented ray of pelvic fin 91.8-94.9% of preceding ray in length. sensory papilla rows x^1 and x^2 not continuous, interrupted by row trp; sensory papilla rows trp extending dorsally to slightly above a longitudinal line through rows x^1 + x^2; anterior tip of sensory papilla row b extending or not to row 4 and well apart from row. below the eye faint, dusky blotches (not forming vertical bar); distal tip of first dorsal fin with a black blotch, wide, extending posteriorly to middle or more posterior part of third interspinal membrane",Max length: 4.1 cm Male/unsexed,Not Available,"Eastern Indonesia east to Philippines and New Guinea, north to Ryukyu Islands.","Collected from sandy-mud or silt bottoms at depths of 5-30 m. Marine, benthopelagic",Not Available,"Shibukawa, K., T. Yoshino and G.R. Allen, 2010. Ancistrogobius, a new cheek-spine goby genus from the West Pacific and Red Sea, with descriptions of four new species (Perciformes: Gobiidae: Gobiinae). Bull. Natl. Mus. Nat. Sci., Ser. A, (Suppl. 4):67-87. ","Source: Ryanskiy, A.. Froese, R. and D. Pauly. Editors. (2024). FishBase. Ancistrogobius yoshigoui Shibukawa, Yoshino & Allen, 2010. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=475007 on 2024-06-20"
Asterropteryx striata,Not Available,Not Available,Gobiidae,Native,Not Evaluated,"RWGOB153-07 - Asterropteryx striata [COI-5P:653], 	RWGOB154-07 - Asterropteryx striata [COI-5P:652], 	RWGOB155-07 - Asterropteryx striata [COI-5P:651]",Dorsal spines (total): 7; Dorsal soft rays (total): 10; Anal spines: 1; Anal soft rays: 9.,"Characterized by preopercle spines, 4-5. Ctenoid scales on head, cheek, opercle, and rest of the body except on pectoral base and prepelvic region where it is cycloid (Ref. 31115); characterized further by absence of prolonged spines; longitudinal scale series 24; 4-5 weak spines on rear edge of preopercle, similar size all spines; rounded caudal fin. Body whitish with a broad dark brown stripe from snout to base of caudal fin.",Max length: 2.3 cm Male/unsexed,"Typically hovers a short distance above the bottom, apparently to feed on zooplankton. Solitary or in small groups","Eastern Indian Ocean and western Pacific: Malaysia, Indonesia, Philippines, Papua New Guinea, Solomon Islands, Fiji and Palau.","Inhabits rubble bottoms in lagoons and sheltered coastal reefs. Marine, reef-associated",Not Available,"Allen, G.R. and P. Munday, 1995. Description of four new Gobies (Gobiidae) from the Western Pacific Ocean. Rev. Fr. Aquariol. 22(3-4):99-104.","Source: Greenfield, J.. Froese, R. and D. Pauly. Editors. (2024). FishBase. Asterropteryx striata Allen & Munday, 1995. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=277499 on 2024-06-20"
Awaous acritosus,Not Available,Roman nose goby,Gobiidae,Native,Least Concern (LC),Not Available,"Dorsal fin VI; I, 10; Anal fin I, 10; Pectoral fin 16-17; Pelvic fin I, 5; Transverse scales 14-17; Gill rakers 2-4 + 1 + 4-5.","Body elongate, cylindrical anteriorly, compressed posteriorly, depth 4.5-6.5 in SL. Head obtuse, length 3.3-3.8 in SL, dorsal profile convex. Eye 4.5 in head length, above level of snout tip. Snout much longer than eye diameter in adults. Lips thick, distinct groove between upper lip and snout; upper jaw prominent, reaching to or almost to front of eye; teeth in several rows, outer row in upper jaw slightly enlarged, not in lower jaw; males usually with slightly longer upper jaw and more teeth in both jaws. Gill openings wide, not restricted; 2-4 elongate papillae on shoulder girdle.
Scales laterally on sides ctenoid; scales posterior to hypural base cycloid, ctenoid or both; small cycloid scales often along bases of second dorsal and anal fins; predorsal fully scaled, midline scales 18-24, cycloid; upper opercle with 0-8 cycloid scales; cheek almost always naked; pectoral base usually naked in young and with cycloid scales in adults; breast with thin cycloid scales, often slightly embedded; belly with cycloid scales usually close to pelvic fin base. Lateral line absent; scales in longitudinal series 56-62. Two dorsal fins, first with same height as second fin, spines not filamentous; second dorsal of moderate length and uniform height. Anal fin similar to and opposite second dorsal fin. Pectoral fins of moderate length. Pelvic fins united into complete disc, not reaching anus. A large pale brownish goby with irregular dark blotches and lines on the head and body, a series of blackish blotches along the midside, and a fine dark line from the eye to the rear of the upper lip. The species has large lips, and a distinctly sloping snout - hence the common name.",Max length: 18.0 cm ,"Feeds mostly on algae and bottom detritus. Little is known of the life history, but it probably has a marine larval stage",Australia and New Guinea.,"Found in streams and rivers of lowland regions, above tidal influence. Collected from generally clear waters (sometimes in turbid waters), over bottoms usually consisting of gravel, sand and some mud. Freshwater, benthopelagic","Only recently described, although it has long been misidentified as Awaous crassilabrus, a species that does not occur in Australia","Watson, R.E., 1994. Awaous (Awaous) acritosus, a new species of freshwater goby from southern New Guinea and northeastern Australia (Teleostei: Gobidae). Ichthyol. Explor. Freshwat. 5(4):351-364.                                                                                                      Martin F. Gomon & Dianne J. Bray, Awaous acritosus in Fishes of Australia, accessed 21 Jun 2024, https://fishesofaustralia.net.au/home/species/1310","Source: Queensland Department of Science, Information Technology, Innovation and the Arts. License: All rights reserved. Martin F. Gomon & Dianne J. Bray, Awaous acritosus in Fishes of Australia, accessed 21 Jun 2024, https://fishesofaustralia.net.au/home/species/1310"
Boleophthalmus birdsongi,Not Available,Birdsong's mudskipper,Gobiidae,Questionable,Not Evaluated,Not Available,Dorsal soft rays (total): 23-25; Anal soft rays: 22 - 24.,"Distinguished by the following characteristics: total elements in D2 23-25; caudal fin length 17.9-24.6% SL; head length 26.6-31.1 % SL; length of D2 base 38.2-43.5%; first D2 element usually segmented and unbranched; longitudinal scale count 89-111; predorsal scales 38-60; lower jaw teeth atypical for Boleophthalmus, notch lacking, teeth more rounded than congeners. Mostly brown with black coloration of the fins towards the base. Elongated fourth dorsal spine. white-tipped coloration on dorsal fin. Large mouth and eyes. ",Max length: 11.1 cm Male/unsexed,Facultative air-breathing. Amphibious air-breather,Australia and (?) Papua New Guinea.,"Collected from mud bottoms, can be found out of water. Marine, Freshwater, Brackish, pelagic-neritic",,"Kailola, P.J., 1991. The fishes of Papua New Guinea: a revised and annotated checklist. Vol. III. Gobiidae to Molidae. Research Bulletin No. 41, Research Section, Dept. of Fisheries and Marine Resources, Papua New Guinea. 153 p. ","Source: Gianluca Polgar / http://www.themudskipper.org/. License: CC BY Attribution. Boleophthalmus birdsongi in Fishes of Australia, accessed 21 Jun 2024, https://fishesofaustralia.net.au/home/species/1312"
Boleophthalmus poti,Not Available,Not Available,Gobiidae,Native,Not Evaluated,Not Available,Dorsal spines (total): 5; Dorsal soft rays (total): 23-26; Anal soft rays: 24 - 26.,"This species is similar to B. birdsongi and B. caeruleomaculatus in having unnotched, flattened and horizontally disposed dentary teeth. It differs from its congeners by having an elongate D1 fin spines, protruding from the fin margin (in both sexes). Differation also comes in coloration. Live individuals: D1 with clearly demarcated sky-blue to whitish marginal band; interradial membranes of D1 greenish-brown, spotted with whitish to yellowish speckles, sometimes fused into broken, narrow and wavy lines; the interradial membranes of D2 are grey to pale brown, darker posteriorly, pale grey distally, with a very thin white margin and columns of 0-5 whitish spots between adjacent rays; and D2 rays are darker than interradial membranes",Max length: 10.6 cm Male/unsexed,Facultative air-breathing,"Fly River delta, Papua New Guinea.","Specimens were collected by hand in tidally exposed burrows, seaward to the pneumatophore zones of pioneer mangrove shores dominated by Sonneratia caseolaris, and along mud banks of intertidal creeks. Marine, Freshwater, Brackish, pelagic-neritic","Named came from the indigenous people of the Wapi villages of Purutu Island, the specie's type locality. They call this species ‘poti’, where in their language means ‘spotted’ and refers to the numerous tiny whitish spots present on the head of this fish..","Polgar, G., Z. Jaafar and P. Konstantinidis, 2013. A new species of mudskipper, Boleophthalmus poti (Teleostei: Gobiidae: Oxudercinae) from the Gulf of Papua, Papua New Guinea, and a key to the genus. Raffles Bull. Zool. 61(1):311-321. ","Source: Polgar, G.. Froese, R. and D. Pauly. Editors. (2024). FishBase. Boleophthalmus poti Polgar, Jaafar & Konstantinidis, 2013. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1007482 on 2024-06-20"
Bryaninops earlei,Not Available,Not Available,Gobiidae,Native,Not Evaluated,Not Available,Dorsal spines (total): 7; Dorsal soft rays (total): 7-8; Anal spines: 1; Anal soft rays: 7 - 8.,"Characterized by having pectoral-fin rays modally 15, some of the middle rays branched; body scales reaching forward dorsally to between middle of opercle or slightly anterior to posterior margin of preopercle, no scales on midline of nape; longitudinal scale series 22-25; transverse scale rows 6 or 7; elongated body, its depth at anus 12-17% SL; head length 29-31% SL; head width slightly greater than head depth; head depth 49-62% HL; short snout, 24-30% HL; slightly protruding lower jaw is rounded in ventral view; gill opening extending forward to a vertical at or slightly beyond posterior edge of preopercle; wide gill opening, extending forward to below posterior edge of orbit; sensory canal not interconnecting above posterior edge of eye; absence of curved canine teeth on mid-side of lower jaw; rounded to truncate caudal fin; pelvic disc cup-like; pelvic frenum with a wide anteriorly-directed pocket. Colour of head and body translucent, pale blue dorsally (with vertebral column visible as a dark brown band), crossed by 10 yellowish brown bars; body side yellowish brown, all of head and body densely speckled with dark brown ","Max length: 1.4 cm Male/unsexed, 1.3 cm Female",Not Available,Papua New Guinea.,"Collected on sea pen in seagrass bed. Marine, pelagic-neritic","Named for John L. Earle, who first discovered it and collected specimens with the second author..","Suzuki, T. and J.E. Randall, 2014. Four new gobiid fishes of the genus Bryaninops from the East Indies. aqua, Int. J. Ichthyol. 20(1):11-26. ","Source: Randall, J.E.. Froese, R. and D. Pauly. Editors. (2024). FishBase. Bryaninops earlei Suzuki & Randall, 2014. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1007167 on 2024-06-20"
Callogobius centrolepis,Not Available,Centrescale goby,Gobiidae,Native,Not Evaluated,Not Available,Dorsal spines (total): 7; Dorsal soft rays (total): 7; Anal spines: 1; Anal soft rays: 7.,"Characterized by completely united pelvic fins with well-developed frenum, reaching nearly to anus; rounded caudal fin; longitudinal scale series 28; cycloid scales on nape, cheek, opercle and anterior to pectoral and pelvic fins, remaining scales ctenoid; predorsal scales 8; opening of gill ending below base of pectoral fin; head with prominent papillae ridges. blotchy brown body color with 3-4 diffuse dark bars on side of body; dark brown fins with rows of pale spots on dorsal fins",Max length: 4.0 cm Male/unsexed,Not Available,"Indo-West Pacific: Chagos Archipelago and Maldives, east to Wallis and Futuna, north to Philippines, south to New Guinea.","Found on rocky outcroppings and coral reef walls. Marine, demersal",Not Available,"Myers, R.F., 1991. Micronesian reef fishes. Second Ed. Coral Graphics, Barrigada, Guam. 298 p. ","Source: Allen, G.R.. Froese, R. and D. Pauly. Editors. (2024). FishBase. Callogobius centrolepis Weber, 1909. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=219406 on 2024-06-20"
Callogobius clitellus,Not Available,Saddled goby,Gobiidae,Native,Least Concern (LC),Not Available,Dorsal spines (total): 6 - 7; Dorsal soft rays (total): 10; Anal spines: 1; Anal soft rays: 8 - 9.,"Characterized by having a completely united pelvic fins with well-developed frenum; rounded caudal fin; longitudinal scale series 46-48; head and body with cycloid scales; predorsal scales about 24; prominent papillae ridges on head. White body color with dark brown stripe from snout to upper pectoral fin base, converging with bar across nape; presence of dark brown band from each dorsal fin to lower side; light to dark brown bar across base of caudal fin; upper margin of pectoral fin with dark brown band",Max length: 5.0 cm Male/unsexed,Not Available,"Western Pacific: Vietnam, Philippines to Flores (Indonesia), Papua New Guinea, Solomon Islands and Palau.","Occurs among rubble and sand of bays and steep reef slopes. Marine, reef-associated",Not Available,"Kailola, P.J., 1991. The fishes of Papua New Guinea: a revised and annotated checklist. Vol. III. Gobiidae to Molidae. Research Bulletin No. 41, Research Section, Dept. of Fisheries and Marine Resources, Papua New Guinea. 153 p. ","Source: Gerald R. Allen / FishBase. License: All rights reserved. Bray, D.J. 2020, Callogobius clitellus in Fishes of Australia, accessed 21 Jun 2024, https://fishesofaustralia.net.au/home/species/1323"
Callogobius crassus,Not Available,Stout goby,Gobiidae,Native,Not Evaluated,Not Available,Dorsal spines (total): 6 - 7; Dorsal soft rays (total): 10; Anal spines: 1; Anal soft rays: 8 - 9.,"Characterized by having united pelvic fins at bases; absent frenum; rounded caudal fin; longitudinal scale series 19-21; cycloid scales on head and anterior body, ctenoid posteriorly on body; predorsal scales 9-11; head with prominent papillae ridges; absence of cephalic sensory pores. Mottled brown body color with dark brown bar on nape; three irregular dark brown bars below first and second dorsal fins; caudal fin base with dark bar; yellowish fins with alternating dark brown and pale bands or rows of dark brown spots",Max length: 3.5 cm Male/unsexed,Not Available,"Philippines, Papua New Guinea, Indonesia and to Society Islands.","Inhabits reef crevices in 5-25 m. Marine, demersal"," Name from Latin 'crassus' meaning thick, fat or stout; referring to the stout body of this species","McKinney, J.F. and E.A. Lachner, 1984. Callogobius crassus, a new fish from the Indo-Pacific region (Teleostei: Gobiidae). Proc. Biol. Soc. Wash. 97(3):627-631. ","Source: Allen, G.R.. McKinney, J. F.; Lachner, E. A. (1984). Callogobius crassus, a new fish from the Indo-Pacific region (Teleostei: Gobiidae). Proceedings of the Biological Society of Washington. 97 (3): 627-631. [details]   "
Callogobius hastatus,Not Available,Spearfin goby,Gobiidae,Native,Not Evaluated,Not Available,Dorsal spines (total): 5 - 6; Dorsal soft rays (total): 9-111; Anal spines: 1; Anal soft rays: 7 - 9.,Characterized by completely united pelvic fins with well-developed frenum; pointed caudal fin; longitudinal scale series 32-37; predorsal scales absent; head with prominent papillae ridges; absence of cephalic sensory pores; depth of body. Characterized by whitish or tan body color dappled with irregular brown spots and blotches,Max length: 7.5 cm Male/unsexed,Not Available,"Western Pacific: Vietnam, Philippines, Yaeyama Islands, Palau, Yap and Papua New Guinea.","Occurs among rubble and coral of weedy or grassy inner reef flats and silty slopes. Marine, Brackish, reef-associated",Not Available,"Kailola, P.J., 1991. The fishes of Papua New Guinea: a revised and annotated checklist. Vol. III. Gobiidae to Molidae. Research Bulletin No. 41, Research Section, Dept. of Fisheries and Marine Resources, Papua New Guinea. 153 p. ","Source: Winterbottom, R.. Froese, R. and D. Pauly. Editors. (2024). FishBase. Callogobius hastatus McKinney & Lachner, 1978. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=278879 on 2024-06-21"
Cristatogobius aurimaculatus,Not Available,Not Available,Gobiidae,Native,Not Evaluated,Not Available,Dorsal spines (total): 7; Dorsal soft rays (total): 9-10; Anal spines: 1; Anal soft rays: 8 - 10; Vertebrae: 26.,"Iridescent blue or green spots surrounded with red or reddish tinge scattered on head and upper anteriormost part of body, with two posteriormost large spots positioned transversely below middle part of first dorsal fin. Yellow spots scattered on purple dorsal and caudal fins, Anal fin grey to dark grey, proximally lighter with reddish tinge without separation of color. Caudal fin somewhat lanceolate",Max length: 3.9 cm Male/unsexed,Not Available,"Western North Pacific: Ryukyu Islands, Papua New Guinea and Fiji.","Found in brackish water. Specimens have been collected in inlets of river mouths where water depth is 10-50 cm at the lowest tide. Brackish, demersal",Not Available,"Akihito and K. Meguro, 2000. Review of the gobiid genus Cristatogobius found in Japan with description of a new species. Ichthyol. Res. 47(3):249-261. ",https://fishbase.mnhn.fr/images/thumbnails/gif/tn_GOBIIDT0.gif
Cryptocentrus cyanospilotus,Not Available,Bluespot shrimpgoby,Gobiidae,Native,Not Evaluated,Not Available,Dorsal spines (total): 6 - 7; Dorsal soft rays (total): 10; Anal spines: 1; Anal soft rays: 9.,"Characterized by having dorsal rays VI-I,10; anal rays I,9; pectoral rays usually 16; scales in longitudinal series 49-54; predorsal scales 10-13; scales ctenoid posteriorly on upper two-thirds of side anterior to level of about fifth or sixth soft dorsal ray; cycloid on lower side, including abdomen, prepelvic region, and pectoralfin base; head naked except side of nape and predorsal region, scales extending anteriorly to level of rear margin of preopercle; body depth at pelvic-fin origin 3.8-4.3 in SL; gill opening extending forward nearly to a vertical at posterior edge of preopercle; dorsal spines progressively longer to fourth, longest 1.1-1.4 in HL; rounded caudal fin, longer than head, 2.7-3.2 in SL; pectoral fins reaching to level of second dorsal-fin origin, 3.4-4.0 in SL; pelvic fins reaching posteriorly to about anus, 3.7-4.1 in SL; colour variable, generally pale to dark brown; male with about eight narrow pale bars on body and oblique brown bandson basal portion of dorsal fins; both sexes with small blue spots scattered on cheek and operculum, and similar spots on body more or less arranged in vertical rows with 2-4 spots per row; female often whitish or pale grey dorsally on head, sometimes with several dark brown and pale grey saddles along back, and elliptical orange spots on second dorsal fin; pelvic fins of both sexes frequently pale yellowish, sometimes white","Max length: 4.1 cm Male/unsexed, 4.1 cm Female","A relatively common species, observed in many occasions, and it occurs singly or in pairs","Western Pacific: Indonesia, Philippines, Papua New Guinea, Solomon Islands, Palau and Yap to Yaeyama Islands.","It is invariably associated with unidentified snapping shrimps of the genus Alpheus that share the same burrows, consisting of silty-sand bottoms in sheltered waters. Marine, reef-associated","Name from Greek word meaning blue-spotted; referring to the diagnostic feature colour pattern. The scientific name also refers to the previously published common name for this species, Bluespot Shrimpgoby","Allen, G.R. and J.E. Randall, 2011. Two new species of shrimp-associated gobies (Gobiidae: Cryptocentrus) from the Western Pacific. Marine Biology Research 7(6):554-564. ","Source: Sue Churchill & Rogan Draper. License: All rights reserved. Bray, D.J. 2016, Cryptocentrus cyanospilotus in Fishes of Australia, accessed 22 Jun 2024, https://fishesofaustralia.net.au/home/species/5274"
Cryptocentrus epakros,Not Available,Pointedfin shrimpgoby,Gobiidae,Native,Not Evaluated,Not Available,Dorsal spines (total): 7; Dorsal soft rays (total): 10; Anal spines: 1; Anal soft rays: 9.,"Characterized by Dorsal-fin rays VI-I,10; anal-fin rays I,9; pectoral-fin rays 15; scales in longitudinal series 47; median predorsal scales 19; body scales entirely cycloid, including abdomen, and prepelvic region; pectoral-fin base and head naked except side of nape and predorsal region; preopercular-canal pore N absent; gill opening extending forward to a vertical at posterior edge of preopercle; seventh and eighth anal-fin rays prolonged, resulting in distinctly pointed posterior anal-fin profile; longest anal-fin rays 1.1 in HL; caudal fin rounded, longer than head, 3.1 in SL; pelvic fins relatively short, not reaching posteriorly to anus, 4.7 in SL; color of female generally golden brown with six faint dark bars from nape to caudal-fin base, interspersed with yellowish, slightly narrower interspaces; both dorsal fins with vertical, dark-edged orange markings between each spine and ray, interrupted to form spots on outer half of fin; second dorsal fin with pale blue submarginal stripe; anal fin dusky yellow brown, except posteriormost portion (encompassing last three rays) bright yellow; caudal fin is yellow to brownish with longitudinal blue streak between most rays of middle portion; pelvic-fin rays are dusky brownish; male (not collected, but presumed to be the same species) with 4 oblique and narrow orange bands (usually wavy and interrupted) on the cheek and opercle and have more vivid dark bars on body ","Max length: 5.0 cm Male/unsexed, 3.4 cm Female","Three individuals (the female holotype, a presumed male, and another female) were observed in 12.5-15.0 m depth. Each individual was invariably associated with an unidentified alpheid shrimp (colour overall is pale greyish with bright pink legs and a pink claw with a bluish tip). The female holotype was in close proximity (about 30 cm) to the presumed male, which occupied a separate burrow","Alolau, Papua New Guinea.","The area of collection consists of moderately sloped (ca.20 degrees) mud substratum, where the slope begins in approximately 1.5 m depth and flattens out at about 18 m. The featureless bottom have numerous burrows occupied by a variety of fishes and invertebrates, including Cryptocentrus epakros. Marine, benthopelagic",Not Available,"Allen, G.R., 2015. Descriptions of two new gobies species of shrimpgobies (Gobiidae: Cryptocentrus and Tomiyamichthys) from Papua New Guinea. J. Ocean Sci. Found. 16:67-81.","Source: Allen, G.R.. Allen, G. R. (2015). Descriptions of two new species of shrimpgobies (Gobiidae: Cryptocentrus and Tomiyamichthys) from Papua New Guinea. Journal of the Ocean Science Foundation. 16, 67-81. [details]   "
